City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Saint-Philippe,RE,2022-04-09 18:35:00,-21.3585,55.7679,78.39,83,43,11.03,light rain
60,Tutoia,BR,2022-04-09 18:35:00,-2.7619,-42.2744,80.28,88,100,7.7,overcast clouds
61,Kavaratti,IN,2022-04-09 18:35:01,10.5669,72.642,83.34,76,66,8.1,broken clouds
62,Severo-Kurilsk,RU,2022-04-09 18:35:01,50.6789,156.125,24.42,74,100,3.22,overcast clouds
63,Bluff,NZ,2022-04-09 18:35:02,-46.6,168.3333,56.32,77,92,21.52,overcast clouds
64,Aklavik,CA,2022-04-09 18:35:02,68.2191,-135.0107,6.8,61,75,18.41,broken clouds
65,Port-De-Bouc,FR,2022-04-09 18:35:03,43.4,4.9833,57.22,33,0,26.46,clear sky
66,Te Anau,NZ,2022-04-09 18:35:03,-45.4167,167.7167,42.48,91,39,0.74,scattered clouds
67,Bengkulu,ID,2022-04-09 18:35:04,-3.8004,102.2655,77.04,85,100,2.98,overcast clouds
68,Busselton,AU,2022-04-09 18:35:04,-33.65,115.3333,60.6,62,100,8.52,overcast clouds
69,Homer,US,2022-04-09 18:35:05,59.6425,-151.5483,33.69,54,0,8.99,clear sky
70,East London,ZA,2022-04-09 18:35:05,-33.0153,27.9116,63.54,94,100,5.75,light rain
71,Mar Del Plata,AR,2022-04-09 18:35:05,-38.0023,-57.5575,68.02,93,75,15.01,broken clouds
72,Najran,SA,2022-04-09 18:35:06,17.4924,44.1277,79.45,17,0,3.24,clear sky
73,Boromo,BF,2022-04-09 18:35:07,11.75,-2.9333,102.81,16,100,4.41,overcast clouds
74,Dingle,PH,2022-04-09 18:35:07,10.9995,122.6711,74.89,91,100,3.42,light rain
75,Hambantota,LK,2022-04-09 18:35:08,6.1241,81.1185,75.54,100,75,3.44,broken clouds
76,Tres Arroyos,AR,2022-04-09 18:35:08,-38.3739,-60.2798,78.42,38,15,8.9,few clouds
77,Norman Wells,CA,2022-04-09 18:35:09,65.282,-126.8329,10.44,72,75,23.02,broken clouds
78,Kaitangata,NZ,2022-04-09 18:35:09,-46.2817,169.8464,50.88,82,69,9.82,broken clouds
79,Puerto Ayora,EC,2022-04-09 18:31:15,-0.7393,-90.3518,84.16,72,77,7.47,light rain
80,Bosaso,SO,2022-04-09 18:35:10,11.2842,49.1816,80.8,79,100,1.52,overcast clouds
81,Karratha,AU,2022-04-09 18:35:10,-20.7377,116.8463,81.84,47,3,11.41,clear sky
82,Canakkale,TR,2022-04-09 18:31:55,40.0833,26.8333,54.18,85,0,5.68,clear sky
83,Superior,US,2022-04-09 18:35:00,46.7208,-92.1041,49.86,27,0,8.05,clear sky
84,Iquique,CL,2022-04-09 18:32:08,-20.2208,-70.1431,69.94,67,16,8.52,few clouds
85,Leninogorsk,RU,2022-04-09 18:35:11,54.6026,52.4609,40.59,92,100,11.14,overcast clouds
86,Ribeira Grande,PT,2022-04-09 18:35:12,38.5167,-28.7,57.6,72,20,31.07,few clouds
87,Georgetown,MY,2022-04-09 18:35:12,5.4112,100.3354,80.53,89,20,0.0,few clouds
88,Moyale,KE,2022-04-09 18:35:12,3.5167,39.0584,74.08,53,47,5.41,scattered clouds
89,Verkhoturye,RU,2022-04-09 18:35:13,58.8627,60.8054,34.05,99,100,3.8,overcast clouds
90,Esperance,AU,2022-04-09 18:35:13,-33.8667,121.9,55.24,63,47,6.33,scattered clouds
91,Areosa,PT,2022-04-09 18:35:14,41.7178,-8.8571,56.34,91,1,7.76,clear sky
92,Abbeville,FR,2022-04-09 18:32:06,50.1,1.8333,48.16,79,1,6.69,clear sky
93,Provideniya,RU,2022-04-09 18:35:14,64.3833,-173.3,32.58,98,100,13.91,snow
94,El Reno,US,2022-04-09 18:36:16,35.5323,-97.955,76.05,18,0,25.32,clear sky
